"Piwik API","Piwik API"
"Tracking API","Tracking API"
"Enable Tracking","Abilita Tracking"
Yes,Si
No,No
Hostname,Hostname
"Piwik hostname, optionally including a path e.g. piwik.example.com or example.com/piwik","Piwik hostname, opzionalmente include un percorso es. piwik.example.com o example.com/piwik"
"Site ID","ID Sito"
"Listed under Settings/Website in your Piwik administration panel","Elencati in Impostazioni/Sito nel tuo pannello di amministrazione Piwik"
"Enable Link Tracking","Abilita Link Tracking"
"Enable tracking of outlinks and downloads","Abilita tracking di outlinks e downloads"
"Link Tracking Timer","Link Tracking Timer"
"Delay for link tracking in milliseconds","Ritardo per il link tracking in millisecondi"
